"Date","Open","High","Low","Close","Volume","OpenInt"
03/16/1999,1371.90,1371.90,1371.90,1371.90,0,500
03/17/1999,1364.90,1364.90,1364.90,1364.90,0,500
03/18/1999,1384.50,1384.50,1384.50,1384.50,0,500
03/19/1999,1363.00,1363.00,1363.00,1363.00,7,505
03/22/1999,1366.00,1366.00,1366.00,1366.00,0,505
03/23/1999,1346.50,1346.50,1325.00,1325.00,1,505
03/24/1999,1323.00,1332.40,1323.00,1332.40,0,505
03/25/1999,1358.00,1358.00,1358.00,1358.00,1,505
03/26/1999,1350.40,1350.40,1350.40,1350.40,0,505
03/29/1999,1370.80,1370.80,1370.80,1370.80,0,505
03/30/1999,1370.80,1370.80,1370.80,1370.80,0,505
03/31/1999,1349.00,1349.00,1349.00,1349.00,0,505
04/01/1999,1357.50,1357.50,1357.50,1357.50,0,505
04/05/1999,1370.00,1388.70,1370.00,1388.70,0,505
04/06/1999,1385.90,1385.90,1385.90,1385.90,2,507
04/07/1999,1393.90,1393.90,1393.90,1393.90,0,507
04/08/1999,1410.90,1410.90,1410.90,1410.90,0,507
04/09/1999,1415.00,1415.00,1411.00,1414.10,2,507
04/12/1999,1428.00,1428.00,1428.00,1428.00,0,507
04/13/1999,1418.10,1418.10,1418.10,1418.10,0,507
04/14/1999,1394.50,1394.50,1394.50,1394.50,0,507
04/15/1999,1387.00,1387.00,1387.00,1387.00,0,507
04/16/1999,1377.80,1377.80,1377.80,1377.80,0,507
04/19/1999,1349.80,1355.90,1349.80,1355.90,0,507
04/20/1999,1370.00,1370.00,1369.50,1369.50,4,508
04/21/1999,1406.80,1406.80,1406.80,1406.80,6,508
04/22/1999,1410.00,1425.00,1410.00,1425.00,7,509
04/23/1999,1425.00,1425.00,1420.70,1420.70,12,504
04/26/1999,1427.30,1427.30,1427.30,1427.30,0,502
04/27/1999,1432.20,1432.20,1432.20,1432.20,0,502
04/28/1999,1414.70,1414.70,1414.70,1414.70,0,502
04/29/1999,1403.00,1403.00,1403.00,1403.00,0,502
04/30/1999,1391.90,1391.90,1391.90,1391.90,0,502
05/03/1999,1415.80,1415.80,1415.80,1415.80,3,502
05/04/1999,1398.70,1398.70,1398.70,1398.70,0,502
05/05/1999,1407.70,1407.70,1407.70,1407.70,0,502
05/06/1999,1398.20,1398.20,1398.20,1398.20,0,502
05/07/1999,1407.00,1407.00,1407.00,1407.00,0,502
05/10/1999,1402.60,1402.60,1402.60,1402.60,0,502
05/11/1999,1414.40,1414.40,1414.40,1414.40,0,502
05/12/1999,1425.20,1425.20,1425.20,1425.20,0,502
05/13/1999,1428.00,1431.30,1428.00,1431.30,15,504
